duration,Q_RelevantIDFraudScore,gender,nationality,ethnicity,age,gaming_time,gaming_related_activities_time,online_gaming_time,offline_gaming_time,playing_esports,preferred_game_name,preffered_esports_game_name,rank,team_membership,playing_with_offline_friends,MOGQ_social1,MOGQ_social2,MOGQ_social3,MOGQ_social4,MOGQ_escape1,MOGQ_escape2,MOGQ_escape3,MOGQ_escape4,MOGQ_competition1,MOGQ_competition2,MOGQ_competition3,MOGQ_competition4,MOGQ_coping1,MOGQ_coping2,MOGQ_coping3,MOGQ_coping4,IGCQ_1,IGCQ_2,IGCQ_3,IGCQ_4,attention_check_1,IGDS9SF_1,IGDS9SF_2,IGDS9SF_3,IGDS9SF_4,IGDS9SF_5,IGDS9SF_6,IGDS9SF_7,IGDS9SF_8,IGDS9SF_9,GDT_1,GDT_2,GDT_3,GDT_4,IGD_alternative_criterion2,IGD_alternative_criterion5,IGD_alternative_criterion6,IGD_alternative_criterion3,IGD_alternative_craving,IGD_alternative_health,BFRS_1,BFRS_2,BFRS_3,BFRS_4,BFRS_5,BFRS_6,BFRS_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,attention_check_2,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,neuroticism_9,neuroticism_10,DJGLS_1,DJGLS_2,DJGLS_3,DJGLS_4,DJGLS_5,DJGLS_6,harm_avoidance_1,harm_avoidance_2,harm_avoidance_3,harm_avoidance_4,harm_avoidance_5,harm_avoidance_6,harm_avoidance_7,harm_avoidance_8,harm_avoidance_9,harm_avoidance_10,BAS_reward_1,BAS_reward_2,BAS_reward_3,BAS_reward_4,BAS_reward_5,
435,0,Male,Silesian,White,27,3,6,80,20,No,League of legends, Teamfight Tactics, Chess, Tibia,,,Yes,Sometimes,,,Some of time,Some of time,Most of the time,Half of the time,,,Most of the time,,,Almost always/always,,Most of the time,Half of the time,,No agreement,No agreement,No agreement,Agree,Often,Often,Never,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Somewhat,Somewhat,,Somewhat,,A lot,,2,,3,,4,,5       Very much,2,,,,3,3,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Accurate,,Very Inaccurate,,Moderately Accurate,,Neither Accurate Nor Inaccurate,Agree,,,Agree,Agree,,,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,,,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Somewhat true for me,Somewhat false for me,Somewhat true for me
698,0,Male,Portuguese,White,36,2,2,90,10,No,Fifa 21,,,No,Never,Almost never/never,,,Almost never/never,Half of the time,,Half of the time,,Most of the time,,Half of the time,,Most of the time,Half of the time,,,No agreement,No agreement,No agreement,Agree,Often,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Somewhat,Not at all,,Somewhat,,Somewhat,,1 Not at all,4,,3,,,4,2,,,,4,2,Moderately Inaccurate,Very Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,Moderately Inaccurate,,,,,,,Agree,Agree,,Disagree,Very Accurate,,Moderately Accurate,,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,,,,,Very true for me,,Somewhat true for me,Very true for me,
444,0,Male,Chilean,Hispanic,19,3,8,13,87,Yes,,League of Legends,Silver IV,No,Sometimes,Almost never/never,,,Some of time,Almost always/always,Almost always/always,,,Some of time,,Some of time,,Almost always/always,Most of the time,,,Agree,Agree,No agreement,No agreement,Often,Sometimes,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Often,Rarely,A lot,,A lot,,A lot,,A lot,2,2,,,,2,,2,3,1 Not at all,5       Very much,,,Moderately Accurate,,,,Very Inaccurate,Very Inaccurate,Very Accurate,Neither Accurate Nor Inaccurate,,,Moderately Inaccurate,,,Disagree,Disagree,Agree,,Moderately Accurate,,Very Accurate,,Very Inaccurate,Very Accurate,,,Moderately Inaccurate,,,Very true for me,,Very true for me,Very true for me,
448,0,Male,english,white,33,7,2,89,11,Yes,,r6 siege,plat,No,Very often,,,Most of the time,Most of the time,Most of the time,,Most of the time,,Almost always/always,,,Half of the time,,Most of the time,,Half of the time,No agreement,No agreement,No agreement,Agree,Often,Often,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Often,Never,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Very often,Often,Often,Very often,A lot,,,A lot,A lot,,A lot,1 Not at all,4,,,,2,5       Very much,5       Very much,4,,,3,,Moderately Inaccurate,Moderately Inaccurate,,Very Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Accurate,,,,,Agree,Strongly agree,Strongly disagree,,,Very Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,,,,Neither Accurate Nor Inaccurate,,,Somewhat false for me,Very true for me,Very true for me,,
687,0,Male,Russia,Caucasic,20,8,1,60,40,No,Rainbow Six Siegue,,,No,Often,,Half of the time,,Almost always/always,Half of the time,,,Most of the time,Most of the time,Some of time,,,,Half of the time,,Most of the time,No agreement,Agree,No agreement,No agreement,Often,Often,Rarely,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Very often,Often,Sometimes,Sometimes,Often,A lot,,Somewhat,,A lot,,Not at all,2,,4,4,3,,,1 Not at all,,4,3,,,Moderately Inaccurate,,Moderately Accurate,,Moderately Inaccurate,,Moderately Accurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,Neither agree nor disagree,Agree,,Neither agree nor disagree,,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,,,Very Accurate,Moderately Inaccurate,,Very Accurate,Very true for me,Very true for me,,,Somewhat true for me,
785,0,Male,Polish,Polish,21,8,9,60,40,No,Sea of Thieves,,,No,Very often,,Some of time,,Half of the time,Some of time,,,Half of the time,Most of the time,Almost always/always,,,,Almost always/always,Half of the time,,Agree,Strongly Agree,No agreement,Strongly Agree,Often,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Often,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Often,Often,A lot,Somewhat,Somewhat,,,A lot,,5       Very much,,,4,4,,,5       Very much,,2,3,,5       Very much,Moderately Inaccurate,,,,Moderately Accurate,,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Agree,,Disagree,,Agree,Very Inaccurate,,Neither Accurate Nor Inaccurate,,,Very Accurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,,Very true for me,Somewhat true for me,Somewhat true for me,,,
273,0,Male,polish,white,18,3,2,100,0,Yes,,fps,Master Guardian2,No,Very often,,Half of the time,,Most of the time,Most of the time,,,Half of the time,Almost always/always,,Almost always/always,,,Almost always/always,Most of the time,,Agree,No agreement,Agree,No agreement,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Never,Often,Never,Sometimes,Often,Sometimes,Very often,Often,Often,Often,Often,Sometimes,Very often,A lot,A lot,,A lot,,A lot,,3,,3,,,2,,4,4,3,4,,,Moderately Inaccurate,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,,Moderately Inaccurate,Moderately Accurate,Disagree,,,Disagree,Neither agree nor disagree,,,,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,Moderately Accurate,Somewhat true for me,Somewhat false for me,,Somewhat false for me,,
582,0,Male,mexican,latino,20,6,9,85,15,Yes,,"fps, apex legends, PUBG, ","varies, but above average ",No,Rarely,,Some of time,,Most of the time,Half of the time,,Most of the time,,Most of the time,,,Some of time,,Almost never/never,,Almost never/never,No agreement,Strongly Agree,Strongly Agree,Agree,Often,Very often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,Often,Not at all,Not at all,Somewhat,,,Not at all,,3,3,5       Very much,4,4,,,2,,,,,1 Not at all,Moderately Accurate,Very Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,,,Agree,,,Disagree,,Agree,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,,,,,Very Accurate,Neither Accurate Nor Inaccurate,Somewhat true for me,Very true for me,,,Very true for me,
491,0,Male,Slovenian,Christian,21,5,6,95,5,Yes,,League of Legends,Platinum,No,Sometimes,,,Some of time,Most of the time,Some of time,,,Some of time,Most of the time,Almost always/always,,,,Some of time,,Some of time,No agreement,No agreement,No agreement,No agreement,Often,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Sometimes,Rarely,A lot,,,A lot,A lot,A lot,,3,,,,4,,3,3,4,3,,,3,Moderately Inaccurate,,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Neither Accurate Nor Inaccurate,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,,,,,Somewhat true for me,,Somewhat true for me,Very true for me,
316,0,Male,Poland,Poland,19,10,5,100,0,No,MOBA/SHOOTER,,,No,Very often,,,Most of the time,Half of the time,Most of the time,,,Most of the time,Most of the time,,Most of the time,,,Most of the time,,Most of the time,No agreement,Agree,No agreement,Agree,Often,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Somewhat,,Somewhat,,Somewhat,,Somewhat,2,2,,,,3,,2,,2,,2,2,Moderately Inaccurate,Very Inaccurate,,Very Inaccurate,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,,Moderately Inaccurate,Agree,,Agree,Neither agree nor disagree,,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,,Moderately Inaccurate,,Moderately Inaccurate,Moderately Accurate,Somewhat false for me,Somewhat false for me,,,Somewhat false for me,
