duration,Q_RelevantIDFraudScore,gender,nationality,ethnicity,age,preferred_game_name,gaming_time,gaming_related_activities_time,online_gaming_time,offline_gaming_time,playing_esports,rank,team_membership,playing_with_offline_friends,MOGQ_social1,MOGQ_social2,MOGQ_social3,MOGQ_social4,MOGQ_escape1,MOGQ_escape2,MOGQ_escape3,MOGQ_escape4,MOGQ_competition1,MOGQ_competition2,MOGQ_competition3,MOGQ_competition4,MOGQ_coping1,MOGQ_coping2,MOGQ_coping3,MOGQ_coping4,IGCQ_1,IGCQ_2,IGCQ_3,IGCQ_4,attention_check_1,IGDS9SF_1,IGDS9SF_2,IGDS9SF_3,IGDS9SF_4,IGDS9SF_5,IGDS9SF_6,IGDS9SF_7,IGDS9SF_8,IGDS9SF_9,GDT_1,GDT_2,GDT_3,GDT_4,IGD_alternative_criterion2,IGD_alternative_criterion5,IGD_alternative_criterion6,IGD_alternative_criterion3,IGD_alternative_craving,IGD_alternative_health,BFRS_1,BFRS_2,BFRS_3,BFRS_4,BFRS_5,BFRS_6,BFRS_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,attention_check_2,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,neuroticism_9,neuroticism_10,DJGLS_1,DJGLS_2,DJGLS_3,DJGLS_4,DJGLS_5,DJGLS_6,harm_avoidance_1,harm_avoidance_2,harm_avoidance_3,harm_avoidance_4,harm_avoidance_5,harm_avoidance_6,harm_avoidance_7,harm_avoidance_8,harm_avoidance_9,harm_avoidance_10,BAS_reward_1,BAS_reward_2,BAS_reward_3,BAS_reward_4,BAS_reward_5,
429,0,Male,Greek,Greek,31,Legends Of Runeterra,4,2,50,50,Yes,Platinum,No,Often,,Almost never/never,,Half of the time,Some of time,Almost never/never,,,Most of the time,,,Most of the time,,Half of the time,,Some of time,No agreement,No agreement,Agree,Agree,Often,Sometimes,Never,Sometimes,Never,Sometimes,Rarely,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Somewhat,,,,Somewhat,A lot,Somewhat,4,,3,4,,,,4,2,,,2,2,Moderately Inaccurate,,,,Very Inaccurate,,Neither Accurate Nor Inaccurate,Very Accurate,,Moderately Accurate,Moderately Accurate,,Disagree,Disagree,Neither agree nor disagree,,,Neither Accurate Nor Inaccurate,,Very Inaccurate,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,Very true for me,Somewhat true for me,,Somewhat true for me,,
190,0,Male,French,White,19,CS:GO,6,3,84,16,Yes,Guardian,No,Often,,Most of the time,,Some of time,Half of the time,,,Most of the time,Some of time,Half of the time,,,,Some of time,Some of time,,No agreement,No agreement,Agree,Strongly Agree,Sometimes,Often,Often,Rarely,Sometimes,Rarely,Often,Rarely,Rarely,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Somewhat,Not at all,Not at all,,,Not at all,,3,1 Not at all,,,,2,,2,4,2,,,3,Moderately Inaccurate,,Very Inaccurate,,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,,,Very Inaccurate,,Strongly agree,Disagree,,Agree,,,Very Inaccurate,,Neither Accurate Nor Inaccurate,,,Very Inaccurate,,Very Inaccurate,Moderately Inaccurate,,Somewhat false for me,Somewhat true for me,Somewhat true for me,,,
404,0,Male,Greece,White,25,RTS,8,4,70,30,Yes,Ancient,No,Very often,,,Half of the time,Almost always/always,Most of the time,,,Almost always/always,Most of the time,Almost always/always,,,,Almost always/always,,Most of the time,No agreement,Strongly Agree,Strongly Agree,Agree,Often,Often,Rarely,Often,Sometimes,Rarely,Never,Never,Often,Never,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Very often,Never,Somewhat,Not at all,,Not at all,,Somewhat,,3,,,4,,4,5       Very much,3,5       Very much,,2,,,Moderately Accurate,Moderately Accurate,,,Very Inaccurate,Very Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,,,Strongly agree,Agree,Strongly agree,,,Very Accurate,,Very Accurate,,,,,Very Inaccurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Very true for me,,Somewhat false for me,Very true for me,
452,0,Male,Poland,White,20,RPG,4,4,45,55,Yes,Diamond in league of legends,No,Very often,Most of the time,,,Most of the time,Almost always/always,,Half of the time,,Almost always/always,,Almost always/always,,,Most of the time,Almost never/never,,No agreement,No agreement,No agreement,No agreement,Often,Sometimes,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,A lot,,A lot,,A lot,,A lot,4,,,,3,4,,4,4,2,,,3,Moderately Accurate,,Very Inaccurate,,Very Inaccurate,,Moderately Accurate,Moderately Inaccurate,,,Very Accurate,,Strongly agree,,Agree,,Disagree,,Moderately Inaccurate,Moderately Accurate,,,,Moderately Inaccurate,,Very Inaccurate,Neither Accurate Nor Inaccurate,Very true for me,Very true for me,,,Very true for me,
612,0,Male,Portugal,Caucasian,22,Rimworld,8,12,30,70,Yes,Gold 4,No,Often,,,Some of time,Most of the time,Some of time,,,Half of the time,Some of time,,,Almost never/never,,Almost always/always,Almost never/never,,No agreement,No agreement,No agreement,No agreement,Often,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Somewhat,,,Not at all,Not at all,,Somewhat,2,4,4,,4,,,3,,3,,1 Not at all,,Moderately Inaccurate,Moderately Accurate,,,Moderately Accurate,,Very Inaccurate,,Very Accurate,Moderately Inaccurate,,,,Agree,Disagree,Strongly agree,,Very Inaccurate,,Very Accurate,Moderately Inaccurate,,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,Somewhat true for me,Very true for me,Somewhat false for me,,,
468,0,Female,British,White,24,FPS,1,1,70,30,Yes,Platinum,No,Never,Almost never/never,,,Most of the time,Almost always/always,,Almost always/always,,Most of the time,,Half of the time,,,Half of the time,Half of the time,,Agree,No agreement,Agree,Agree,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Somewhat,,,Somewhat,Somewhat,Not at all,,2,4,,1 Not at all,3,2,,2,,,2,,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,Very Inaccurate,,,Moderately Inaccurate,,Disagree,Disagree,Neither agree nor disagree,,,,Neither Accurate Nor Inaccurate,Moderately Accurate,,Very Inaccurate,,Very Inaccurate,Moderately Inaccurate,,,Somewhat true for me,Somewhat true for me,Somewhat true for me,,,
923,0,Male,Portuguese,Caucasian,22,Sports,8,4,90,10,Yes,Lengendary Eagle Master,No,Very often,,,Most of the time,Half of the time,Almost never/never,,,Almost never/never,Almost always/always,,,Almost always/always,,Almost never/never,,Almost never/never,No agreement,No agreement,No agreement,No agreement,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Somewhat,,A lot,,Somewhat,A lot,,2,,,2,,,4,3,2,,2,4,,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,,Very Inaccurate,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,,,,Agree,,Strongly agree,,Disagree,Very Inaccurate,,Moderately Inaccurate,Moderately Accurate,,,Moderately Inaccurate,,,Moderately Accurate,Somewhat true for me,Somewhat true for me,Somewhat true for me,,,
795,0,Male,Iranian,Persian,36,"Open world, role-playing games",3,1,0,100,Yes,Amateur,No,Never,Almost never/never,,,Almost always/always,Almost always/always,,Almost always/always,,Most of the time,,Most of the time,,Almost always/always,Most of the time,,,No agreement,Strongly Agree,Strongly Agree,Strongly Agree,Often,Very often,Often,Often,Sometimes,Often,Often,Very often,Very often,Sometimes,Often,Very often,Often,Sometimes,Very often,Sometimes,Often,Sometimes,Very often,Often,A lot,Somewhat,,A lot,A lot,,,2,,4,3,,2,,5       Very much,,2,,,2,Moderately Inaccurate,,,,Very Inaccurate,,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,Strongly agree,,,Disagree,Strongly agree,,,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,,Very Accurate,,,Moderately Inaccurate,,,Very true for me,Very true for me,Very true for me,,
860,0,Male,Polish,White,20,overwatch,3,4,35,65,Yes,grandmaster,No,Never,,,Almost never/never,Some of time,Almost always/always,,,Half of the time,Half of the time,Most of the time,,,,Almost always/always,,Almost always/always,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Often,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Rarely,Often,Often,Sometimes,Rarely,A lot,,Somewhat,,,Somewhat,Somewhat,3,3,2,,3,,,3,,5       Very much,4,,,Moderately Inaccurate,Moderately Accurate,,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,,,,Neither Accurate Nor Inaccurate,Agree,,,Disagree,,Agree,,,Moderately Accurate,Moderately Accurate,Very Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Accurate,,,Very true for me,Very true for me,,,Somewhat true for me,
896,0,Male,Hungarian,Caucasian,22,FPS,4,2,75,25,Yes,"Distinguished Master Guardian, Diamond 1",Yes,Rarely,,,Half of the time,Most of the time,Some of time,,Some of time,,Most of the time,,Some of time,,,Almost never/never,Almost never/never,,Agree,No agreement,No agreement,No agreement,Often,Rarely,Never,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Rarely,A lot,Somewhat,,A lot,A lot,,,5       Very much,2,,4,,3,,4,,,4,2,,Moderately Accurate,,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,Moderately Accurate,,,,Agree,Strongly agree,Strongly agree,,,Very Accurate,Very Accurate,Very Accurate,,,Moderately Accurate,,Very Accurate,,,,Somewhat true for me,Very true for me,,Very true for me,
